description_model,free_present,relation,scene_id,status,structured_present
openai,True,front,v1:building_040,consistent,True
openai,True,back,v1:building_040,consistent,True
openai,True,centered,v1:building_040,consistent,True
openai,True,symmetric,v1:building_040,consistent,True
openai,True,inside,v1:building_040,consistent,True
openai,True,along,v1:building_040,consistent,True
openai,True,around,v1:building_040,consistent,True
claude,True,symmetric,v1:building_040,consistent,True
claude,True,around,v1:building_040,consistent,True
openai,True,above,v1:building_041,consistent,True
openai,True,below,v1:building_041,consistent,True
openai,True,symmetric,v1:building_041,consistent,True
openai,True,inside,v1:building_041,consistent,True
openai,True,along,v1:building_041,consistent,True
openai,True,around,v1:building_041,consistent,True
claude,True,below,v1:building_041,consistent,True
claude,True,along,v1:building_041,consistent,True
gemini,True,symmetric,v1:building_041,dropped,False
openai,True,above,v1:building_042,consistent,True
openai,True,below,v1:building_042,consistent,True
openai,True,symmetric,v1:building_042,consistent,True
openai,True,along,v1:building_042,consistent,True
openai,True,around,v1:building_042,consistent,True
claude,True,front,v1:building_042,consistent,True
claude,True,back,v1:building_042,consistent,True
claude,True,centered,v1:building_042,consistent,True
claude,True,along,v1:building_042,consistent,True
claude,True,around,v1:building_042,consistent,True
openai,True,centered,v1:building_043,consistent,True
openai,True,symmetric,v1:building_043,consistent,True
openai,True,along,v1:building_043,consistent,True
openai,True,around,v1:building_043,consistent,True
claude,True,centered,v1:building_043,consistent,True
claude,True,symmetric,v1:building_043,consistent,True
claude,True,along,v1:building_043,consistent,True
gemini,True,centered,v1:building_043,consistent,True
gemini,True,along,v1:building_043,consistent,True
openai,True,above,v1:building_044,consistent,True
openai,True,centered,v1:building_044,consistent,True
openai,True,symmetric,v1:building_044,consistent,True
openai,True,along,v1:building_044,consistent,True
openai,True,around,v1:building_044,consistent,True
claude,True,front,v1:building_044,consistent,True
claude,True,below,v1:building_044,consistent,True
claude,True,symmetric,v1:building_044,consistent,True
claude,True,along,v1:building_044,consistent,True
openai,True,centered,v1:building_045,consistent,True
openai,True,symmetric,v1:building_045,consistent,True
openai,True,outside,v1:building_045,consistent,True
openai,True,along,v1:building_045,consistent,True
openai,True,around,v1:building_045,consistent,True
claude,True,above,v1:building_045,consistent,True
claude,True,below,v1:building_045,consistent,True
claude,True,centered,v1:building_045,consistent,True
claude,True,symmetric,v1:building_045,consistent,True
claude,True,along,v1:building_045,consistent,True
claude,True,around,v1:building_045,consistent,True
gemini,True,back,v1:building_045,consistent,True
openai,True,front,v1:building_046,consistent,True
openai,True,back,v1:building_046,consistent,True
openai,True,centered,v1:building_046,consistent,True
openai,True,adjacent,v1:building_046,consistent,True
openai,True,symmetric,v1:building_046,consistent,True
openai,True,along,v1:building_046,consistent,True
openai,True,around,v1:building_046,consistent,True
claude,True,front,v1:building_046,consistent,True
claude,True,back,v1:building_046,consistent,True
claude,True,symmetric,v1:building_046,consistent,True
claude,True,along,v1:building_046,consistent,True
claude,True,around,v1:building_046,consistent,True
gemini,True,symmetric,v1:building_046,consistent,True
openai,True,above,v1:building_047,consistent,True
openai,True,centered,v1:building_047,consistent,True
openai,True,symmetric,v1:building_047,consistent,True
openai,True,along,v1:building_047,consistent,True
openai,True,around,v1:building_047,consistent,True
claude,True,above,v1:building_047,consistent,True
claude,True,below,v1:building_047,consistent,True
claude,True,along,v1:building_047,consistent,True
claude,True,around,v1:building_047,consistent,True
openai,True,symmetric,v1:building_048,consistent,True
openai,True,around,v1:building_048,consistent,True
claude,True,front,v1:building_048,consistent,True
claude,True,back,v1:building_048,consistent,True
claude,True,centered,v1:building_048,consistent,True
claude,True,symmetric,v1:building_048,consistent,True
gemini,True,symmetric,v1:building_048,consistent,True
openai,True,left,v1:building_049,consistent,True
openai,True,right,v1:building_049,consistent,True
openai,True,front,v1:building_049,consistent,True
openai,True,back,v1:building_049,consistent,True
openai,True,centered,v1:building_049,consistent,True
openai,True,symmetric,v1:building_049,consistent,True
openai,True,inside,v1:building_049,consistent,True
openai,True,along,v1:building_049,consistent,True
openai,True,around,v1:building_049,consistent,True
claude,True,centered,v1:building_049,consistent,True
claude,True,symmetric,v1:building_049,consistent,True
gemini,True,front,v1:building_049,consistent,True
gemini,True,back,v1:building_049,consistent,True
gemini,True,below,v1:building_049,consistent,True
gemini,True,adjacent,v1:building_049,consistent,True
gemini,True,along,v1:building_049,consistent,True
openai,True,centered,v1:building_050,consistent,True
openai,True,symmetric,v1:building_050,consistent,True
openai,True,along,v1:building_050,consistent,True
openai,True,around,v1:building_050,consistent,True
claude,True,along,v1:building_050,consistent,True
gemini,True,above,v1:building_050,consistent,True
gemini,True,below,v1:building_050,consistent,True
openai,True,centered,v1:building_051,consistent,True
openai,True,symmetric,v1:building_051,consistent,True
openai,True,along,v1:building_051,consistent,True
openai,True,around,v1:building_051,consistent,True
claude,True,front,v1:building_051,consistent,True
claude,True,above,v1:building_051,consistent,True
claude,True,centered,v1:building_051,consistent,True
claude,True,symmetric,v1:building_051,consistent,True
claude,True,along,v1:building_051,consistent,True
gemini,True,left,v1:building_051,consistent,True
gemini,True,front,v1:building_051,consistent,True
gemini,True,back,v1:building_051,consistent,True
gemini,True,symmetric,v1:building_051,consistent,True
openai,True,above,v1:building_052,consistent,True
openai,True,adjacent,v1:building_052,consistent,True
openai,True,symmetric,v1:building_052,consistent,True
openai,True,along,v1:building_052,consistent,True
openai,True,around,v1:building_052,consistent,True
claude,True,front,v1:building_052,consistent,True
claude,True,below,v1:building_052,consistent,True
claude,True,along,v1:building_052,consistent,True
claude,True,around,v1:building_052,consistent,True
gemini,True,front,v1:building_052,consistent,True
gemini,True,back,v1:building_052,consistent,True
gemini,True,above,v1:building_052,consistent,True
gemini,True,symmetric,v1:building_052,consistent,True
openai,True,left,v1:building_053,consistent,True
openai,True,right,v1:building_053,consistent,True
openai,True,front,v1:building_053,consistent,True
openai,True,back,v1:building_053,consistent,True
openai,True,centered,v1:building_053,consistent,True
openai,True,along,v1:building_053,consistent,True
openai,True,around,v1:building_053,consistent,True
claude,True,front,v1:building_053,consistent,True
claude,True,back,v1:building_053,consistent,True
claude,True,along,v1:building_053,consistent,True
claude,True,around,v1:building_053,consistent,True
openai,True,left,v1:building_054,consistent,True
openai,True,right,v1:building_054,consistent,True
openai,True,front,v1:building_054,consistent,True
openai,True,back,v1:building_054,consistent,True
openai,True,above,v1:building_054,consistent,True
openai,True,centered,v1:building_054,consistent,True
openai,True,symmetric,v1:building_054,consistent,True
openai,True,along,v1:building_054,consistent,True
openai,True,around,v1:building_054,consistent,True
claude,True,front,v1:building_054,consistent,True
claude,True,back,v1:building_054,consistent,True
claude,True,along,v1:building_054,consistent,True
gemini,True,above,v1:building_054,consistent,True
gemini,True,symmetric,v1:building_054,consistent,True
gemini,True,along,v1:building_054,consistent,True
gemini,True,around,v1:building_054,consistent,True
openai,True,left,v1:building_055,consistent,True
openai,True,right,v1:building_055,consistent,True
openai,True,front,v1:building_055,consistent,True
openai,True,back,v1:building_055,consistent,True
openai,True,below,v1:building_055,consistent,True
openai,True,centered,v1:building_055,consistent,True
openai,True,symmetric,v1:building_055,consistent,True
openai,True,along,v1:building_055,consistent,True
openai,True,around,v1:building_055,consistent,True
claude,True,below,v1:building_055,consistent,True
gemini,True,front,v1:building_055,consistent,True
gemini,True,back,v1:building_055,consistent,True
gemini,True,along,v1:building_055,consistent,True
openai,True,below,v1:building_056,consistent,True
openai,True,symmetric,v1:building_056,consistent,True
openai,True,along,v1:building_056,consistent,True
openai,True,around,v1:building_056,consistent,True
claude,True,front,v1:building_056,consistent,True
claude,True,symmetric,v1:building_056,consistent,True
claude,True,along,v1:building_056,consistent,True
openai,True,above,v1:building_057,consistent,True
openai,True,below,v1:building_057,consistent,True
openai,True,centered,v1:building_057,consistent,True
openai,True,adjacent,v1:building_057,consistent,True
openai,True,symmetric,v1:building_057,consistent,True
openai,True,inside,v1:building_057,consistent,True
openai,True,around,v1:building_057,consistent,True
claude,True,front,v1:building_057,consistent,True
claude,True,back,v1:building_057,consistent,True
claude,True,centered,v1:building_057,consistent,True
claude,True,symmetric,v1:building_057,consistent,True
claude,True,along,v1:building_057,consistent,True
gemini,True,symmetric,v1:building_057,consistent,True
gemini,True,inside,v1:building_057,consistent,True
openai,True,front,v1:building_058,consistent,True
openai,True,back,v1:building_058,consistent,True
openai,True,above,v1:building_058,consistent,True
openai,True,centered,v1:building_058,consistent,True
openai,True,symmetric,v1:building_058,consistent,True
openai,True,along,v1:building_058,consistent,True
openai,True,around,v1:building_058,consistent,True
claude,True,symmetric,v1:building_058,consistent,True
claude,True,along,v1:building_058,consistent,True
gemini,True,front,v1:building_058,consistent,True
gemini,True,along,v1:building_058,consistent,True
openai,True,front,v1:building_059,consistent,True
openai,True,back,v1:building_059,consistent,True
openai,True,centered,v1:building_059,consistent,True
openai,True,symmetric,v1:building_059,consistent,True
openai,True,inside,v1:building_059,consistent,True
