description_model,field_path,scene_id,status,value
gemini,floors_estimate,v1:building_091,unsupported_top_level_field,2
gemini,roof_type,v1:building_091,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_094,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_094,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_094,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_094,unsupported_top_level_field,1
gemini,roof_type,v1:building_094,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_095,unsupported_top_level_field,"""rectangular box with a tiered roof"""
gemini,footprint_hint,v1:building_095,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_095,unsupported_top_level_field,"""symmetrical on both axes"""
gemini,floors_estimate,v1:building_095,unsupported_top_level_field,1
gemini,roof_type,v1:building_095,unsupported_top_level_field,"""other"""
gemini,overall_form,v1:building_096,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_096,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_096,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_096,unsupported_top_level_field,1
gemini,roof_type,v1:building_096,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_098,unsupported_top_level_field,"""rectangular block"""
gemini,footprint_hint,v1:building_098,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_098,unsupported_top_level_field,"""highly symmetrical on all axes"""
gemini,floors_estimate,v1:building_098,unsupported_top_level_field,2
gemini,roof_type,v1:building_098,unsupported_top_level_field,"""gable"""
gemini,overall_form,v4:building_000,unsupported_top_level_field,"""U-shaped"""
gemini,footprint_hint,v4:building_000,unsupported_top_level_field,"""u_shape"""
gemini,symmetry,v4:building_000,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v4:building_000,unsupported_top_level_field,2
gemini,roof_type,v4:building_000,unsupported_top_level_field,"""gable"""
gemini,overall_form,v4:building_025,unsupported_top_level_field,"""Rectangular central body flanked by six square towers along its long sides."""
gemini,footprint_hint,v4:building_025,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v4:building_025,unsupported_top_level_field,"""bilateral (front-to-back axis)"""
gemini,floors_estimate,v4:building_025,unsupported_top_level_field,2
gemini,roof_type,v4:building_025,unsupported_top_level_field,"""gable"""
gemini,overall_form,v4:building_029,unsupported_top_level_field,"""blocky main structure with four tall corner towers"""
gemini,footprint_hint,v4:building_029,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_029,unsupported_top_level_field,"""asymmetrical main building, symmetrical tower placement"""
gemini,floors_estimate,v4:building_029,unsupported_top_level_field,3
gemini,roof_type,v4:building_029,unsupported_top_level_field,"""flat"""
gemini,overall_form,v4:building_046,unsupported_top_level_field,"""cross-shaped main building with a detached corner tower"""
gemini,footprint_hint,v4:building_046,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_046,unsupported_top_level_field,"""bilateral symmetry for the main building, broken by the detached tower"""
gemini,floors_estimate,v4:building_046,unsupported_top_level_field,3
gemini,roof_type,v4:building_046,unsupported_top_level_field,"""flat"""
gemini,overall_form,v4:building_048,unsupported_top_level_field,"""tiered central building with twin towers"""
gemini,footprint_hint,v4:building_048,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_048,unsupported_top_level_field,"""front bilateral symmetry, asymmetrical rear"""
gemini,floors_estimate,v4:building_048,unsupported_top_level_field,2
gemini,roof_type,v4:building_048,unsupported_top_level_field,"""dome"""
gemini,overall_form,v4:building_053,unsupported_top_level_field,"""central complex with six surrounding towers"""
gemini,footprint_hint,v4:building_053,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_053,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v4:building_053,unsupported_top_level_field,1
gemini,roof_type,v4:building_053,unsupported_top_level_field,"""flat"""
gemini,overall_form,v4:building_067,unsupported_top_level_field,"""Rectangular open-air arena with flanking towers and a curved partial roof"""
gemini,footprint_hint,v4:building_067,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v4:building_067,unsupported_top_level_field,"""asymmetrical"""
gemini,floors_estimate,v4:building_067,unsupported_top_level_field,1
gemini,roof_type,v4:building_067,unsupported_top_level_field,"""other"""
gemini,overall_form,v4:building_073,unsupported_top_level_field,"""U-shaped main body with two front corner towers"""
gemini,footprint_hint,v4:building_073,unsupported_top_level_field,"""u_shape"""
gemini,symmetry,v4:building_073,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v4:building_073,unsupported_top_level_field,1
gemini,roof_type,v4:building_073,unsupported_top_level_field,"""gable"""
gemini,overall_form,v4:building_078,unsupported_top_level_field,"""Irregular, multi-part form with a prominent curved and tiered roof."""
gemini,footprint_hint,v4:building_078,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_078,unsupported_top_level_field,"""asymmetrical"""
gemini,floors_estimate,v4:building_078,unsupported_top_level_field,1
gemini,roof_type,v4:building_078,unsupported_top_level_field,"""other"""
gemini,overall_form,v4:building_082,unsupported_top_level_field,"""rectangular with front projection and central tower"""
gemini,footprint_hint,v4:building_082,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_082,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v4:building_082,unsupported_top_level_field,2
gemini,roof_type,v4:building_082,unsupported_top_level_field,"""flat"""
gemini,overall_form,v4:building_089,unsupported_top_level_field,"""asymmetrical cross"""
gemini,footprint_hint,v4:building_089,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_089,unsupported_top_level_field,"""front half is bilaterally symmetrical; rear half is asymmetrical"""
gemini,floors_estimate,v4:building_089,unsupported_top_level_field,1
gemini,roof_type,v4:building_089,unsupported_top_level_field,"""other"""
gemini,overall_form,v4:building_091,unsupported_top_level_field,"""Stepped pyramidal or gable structure with corner towers and central protrusions."""
gemini,footprint_hint,v4:building_091,unsupported_top_level_field,"""complex"""
gemini,symmetry,v4:building_091,unsupported_top_level_field,"""Bilateral (left-right)"""
gemini,floors_estimate,v4:building_091,unsupported_top_level_field,2
gemini,roof_type,v4:building_091,unsupported_top_level_field,"""gable"""
gemini,overall_form,v4:building_099,unsupported_top_level_field,"""L-shaped main building with one attached and one detached tower"""
gemini,footprint_hint,v4:building_099,unsupported_top_level_field,"""l_shape"""
gemini,symmetry,v4:building_099,unsupported_top_level_field,"""asymmetrical"""
gemini,floors_estimate,v4:building_099,unsupported_top_level_field,1
gemini,roof_type,v4:building_099,unsupported_top_level_field,"""flat"""
